sector,site_description_local,latitude,longitude,import,road
cameras_report_nwregion_foi,39024 M60 2/4A J2 CHEADLE HEATH,53.4017,357.792,Y,M60 
cameras_report_nwregion_foi,39033 M60 3/3A J3 KINGSWAY INT,53.3992,357.779,Y,M60 
cameras_report_nwregion_foi,39041 M60 4/1A J4 M60 M56 A34,53.3983,357.767,Y,M60 
cameras_report_nwregion_foi,39063 M60 6/3B J5 PARKWAY,53.4122,357.745,Y,M60 
cameras_report_nwregion_foi,39073 M60 7/3L J5 PARKWAY,53.4144,357.731,Y,M60 
cameras_report_nwregion_foi,39083 M60 8/3J J5 J6 SPORTS GRND,53.4163,357.716,Y,M60 
cameras_report_nwregion_foi,39097 M60 9/7J J6 HARDY LANE,53.4271,357.706,Y,M60 
cameras_report_nwregion_foi,39109 M60 10/9K J6 J7 SALE MARINA,53.4333,357.692,Y,M60 
cameras_report_nwregion_foi,03912 M60 12/0M J7 CHESTER RD,53.439,357.68,Y,M60 
cameras_report_nwregion_foi,39130 M60 13/0J J8 CARRINGTON,53.4406,357.664,Y,M60 
cameras_report_nwregion_foi,39142 M60 14/2A J8 J9 URMSTON,53.451,357.66,Y,M60 
cameras_report_nwregion_foi,03915 M60 15/0B J9 TRAFF PARKWAY,53.4582,357.661,Y,M60 
cameras_report_nwregion_foi,39153 M60 15/3B J9 DAVYHULME,53.4601,357.659,Y,M60 
cameras_report_nwregion_foi,39165 M60 16/5B J10 TRAFF BOULVARD,53.4648,357.643,Y,M60 
cameras_report_nwregion_foi,39172 M60 17/2A J10 TRAFF CENTRE,53.4669,357.634,Y,M60 
cameras_report_nwregion_foi,39184 M60 18/4A J11 PEEL GREEN,53.4763,357.626,Y,M60 
cameras_report_nwregion_foi,39210 M60 20/9A J13 QW31 GANTRY,53.4967,357.615,Y,M60 
cameras_report_nwregion_foi,39213 M60 21/3A J13 ST MARKS,53.4993,357.614,Y,M60 
cameras_report_nwregion_foi,39219 M60 21/9A J13 QW32 GANTRY,53.5047,357.62,Y,M60 
cameras_report_nwregion_foi,39229 M60 22/9B J14 A580 BRIDGE,53.5116,357.632,Y,M60 
cameras_report_nwregion_foi,39257 M60 25/7B J16 J15 ROBINHOOD,53.525,357.657,Y,M60 
cameras_report_nwregion_foi,39275 M60 27/5B J17 J16 ACW PLATFM,53.5304,357.682,Y,M60 
cameras_report_nwregion_foi,39284 M60 28/4A J16 J17 IRWELL VAL,53.5361,357.694,Y,M60 
cameras_report_nwregion_foi,39297 M60 29/7B J17 WHITEFIELD,53.5395,357.713,Y,M60 
cameras_report_nwregion_foi,39307 M60 30/7A J17 J18 SGATE RD,53.545,357.724,Y,M60 
cameras_report_nwregion_foi,39327 M60 32/7B J19 J18 HEATON PK,53.5454,357.746,Y,M60 
cameras_report_nwregion_foi,39339 M60 33/9B J19 THREE ARROWS,53.54,357.761,Y,M60 
